index_in_path,lat,lng,altitude,heading,roll,tilt,distance_from_ground
113,37.42698658273304,-122.28350420329767,239.82,130.9,0.0,57.0,200
114,37.42698544710159,-122.28350255858345,240.03,131.3,0.0,57.1,200
115,37.42698426592107,-122.28350086967802,240.23,131.6,0.0,57.2,200
116,37.42698309994304,-122.2834992203902,240.43,131.8,0.0,57.3,200
117,37.42698190073535,-122.28349753884983,240.63,132.0,0.0,57.3,200
118,37.42698067802222,-122.2834958358836,240.82,132.2,0.0,57.4,200
119,37.42697946992377,-122.28349416148936,241.01,132.3,0.0,57.4,200
120,37.4269782123796,-122.2834924241643,241.2,132.3,0.0,57.5,200
121,37.42697698230714,-122.28349072776064,241.38,132.4,0.0,57.5,200
122,37.42697567222232,-122.28348892192052,241.56,132.4,0.0,57.5,200
123,37.426974368433115,-122.28348712383688,241.73,132.3,0.0,57.5,200
124,37.426973009102625,-122.28348524670695,241.9,132.3,0.0,57.5,200
125,37.426971624726164,-122.28348333137959,242.07,132.2,0.0,57.5,200
126,37.426970295295376,-122.28348148787762,242.24,132.2,0.0,57.5,200
127,37.426968858547006,-122.2834794905751,242.4,132.1,0.0,57.4,200
128,37.42696733830379,-122.28347737174998,242.55,132.0,0.0,57.3,200
129,37.42696570729108,-122.28347509276999,242.71,132.0,0.0,57.3,200
130,37.426964069918036,-122.28347279940223,242.85,131.9,0.0,57.2,200
